n = 8901, Dijkstra time = 1.05942, Bellman-Ford time = 19.5626
n = 9001, Dijkstra time = 1.17435, Bellman-Ford time = 19.811
n = 9101, Dijkstra time = 1.17868, Bellman-Ford time = 19.0209
n = 9201, Dijkstra time = 1.15737, Bellman-Ford time = 21.1721
n = 9301, Dijkstra time = 1.20888, Bellman-Ford time = 24.2342
n = 9401, Dijkstra time = 1.23739, Bellman-Ford time = 21.7146
n = 9501, Dijkstra time = 1.3024, Bellman-Ford time = 22.1572
n = 9601, Dijkstra time = 1.25934, Bellman-Ford time = 25.0164
n = 9701, Dijkstra time = 1.24935, Bellman-Ford time = 25.2613
n = 9801, Dijkstra time = 1.40744, Bellman-Ford time = 26.9026
n = 9901, Dijkstra time = 1.38367, Bellman-Ford time = 23.147
n = 10001, Dijkstra time = 1.42689, Bellman-Ford time = 24.18
